num_jobs 10000000 num_servers 2 seed 0 dist Hyperexp(1.9, 0.1, 0.95)
rho;SRPT;SRPTExcept(0.1);SRPTExcept(0.2);SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5);PSJF;RS
0.01;1.9994711946684036;1.9994711946682875;1.9994711946683013;1.9994712597404982;1.999471548151023;1.9994717768802368;1.9994765851669751;1.999471990098007
0.05;2.002499959223931;2.002500025179374;2.0025006063625366;2.0025073538953087;2.0025264569582237;2.0025399557415122;2.002694351813013;2.002539396690305
0.1;2.011585975308427;2.0115862086800007;2.0115898880402336;2.0116390339083403;2.011765358657381;2.0118573686857335;2.0124883539846325;2.0117846610411174
0.15;2.026226476131186;2.026227382633918;2.0262367171882163;2.026377565318369;2.026756801674488;2.0270314750191276;2.0285076937163145;2.026730364171381
0.2;2.0461634426312574;2.0461644030765966;2.046182757807143;2.0464662985429176;2.047252875797308;2.047836942710991;2.050621025613575;2.0472197052728744
0.25;2.0715902769528904;2.0715908115542914;2.071620343161575;2.0720950879813316;2.0734491024276993;2.0744936176941473;2.0788289342209207;2.0733611942149026
0.3;2.10269811374597;2.102696042392014;2.1027263192343666;2.1033893556744996;2.1054395749622947;2.107039912185838;2.113800646860246;2.1054433522144613
0.35;2.1399105824091555;2.139904958299274;2.1399309452935302;2.1407817971268854;2.1436250845703286;2.145975844613432;2.156185202181002;2.1439582269308244
0.4;2.184166276847155;2.184156056382798;2.1841757028686017;2.1851878393160833;2.188862101177486;2.1919921876759667;2.2067525370940926;2.18974406631533
0.45;2.2364258431659345;2.2364067079637477;2.2364061164730473;2.2375299967791746;2.2420261047316736;2.246019381345029;2.266765691041278;2.2439418105565987
0.5;2.2980442878887013;2.2980107803213867;2.297972236933748;2.2991339488561264;2.3043615183597725;2.3092609660902603;2.3378562450915816;2.3079273889272947
0.55;2.371355367401535;2.3713080216250133;2.371214518334634;2.3722332916199154;2.378015579519117;2.383721910803914;2.4232159659989643;2.3838970819452148
0.6;2.4593751543838964;2.4593072302558525;2.4591186156754503;2.459857391465531;2.4659907428193946;2.4723940720311703;2.5262440059427993;2.4753787589468494
0.65;2.5665114103113433;2.5664242825299683;2.5661444743587296;2.566386756682171;2.572245508167167;2.57919508327784;2.6522111409456435;2.586601677116501
0.7;2.6996567083174625;2.6995371243321644;2.6991126132030945;2.698547090155808;2.7037401395259355;2.71076284765891;2.809579236553446;2.7244853992949345
0.72;2.762619759693583;2.762486320991019;2.762007001695878;2.760993988925973;2.765611324759178;2.7725465628410064;2.8851763926689684;2.7897959568762674
0.74;2.8331637013181634;2.8330211343011826;2.8324855278360537;2.8310185396808403;2.8349868698003142;2.841711952360843;2.967936892389153;2.863032485157248
0.76;2.9121237218446656;2.9119715504986035;2.9113643879226982;2.9094198835162177;2.9124892863896936;2.9189229869228623;3.0625194486930556;2.944587815166371
0.78;3.00187309844162;3.0017017667504517;3.0010127544102536;2.9985214549359838;3.0005968429761483;3.0066025659842737;3.170572957858777;3.037679702763366
0.8;3.1051199427840173;3.1049332795706124;3.104168150768931;3.10097814628624;3.1016006588948817;3.1068261494141245;3.294512318629917;3.1445190321282794
0.82;3.2251327644394787;3.224927878125193;3.224059197744202;3.2201286588545015;3.219099607247309;3.2235199452319883;3.43833208766776;3.268658684791339
0.84;3.366490930863798;3.3662689110706046;3.365317407941574;3.3606888216942714;3.3581779650357126;3.361378414949611;3.6050086357978404;3.414091227235693
0.86;3.5378251742015125;3.537587624470244;3.536555886297342;3.5310536949501308;3.5263205170287835;3.528074540809633;3.8099400928742675;3.590359893909918
0.88;3.7519273407882348;3.751671525903103;3.750557880835338;3.7442168193600134;3.7373109898230417;3.7373291815736382;4.061389804232223;3.8103137164028227
0.9;4.028183540222877;4.027921264905909;4.026711692515834;4.019315266583956;4.009800483608966;4.00771156457021;4.389119604731371;4.093004652789129
0.903;4.077474829526591;4.077208498191926;4.075944378204766;4.068433348830689;4.058409015553843;4.056069240250911;4.446696416906686;4.143160843380261
0.906;4.129060495536253;4.12879461611094;4.127564089581591;4.120029380095282;4.1095651257753225;4.1067011518140895;4.509993688238119;4.196365768478799
0.91;4.20233746771802;4.202070184680046;4.200828719526695;4.193031234743448;4.182240750402044;4.178920089681202;4.5961470706822025;4.270859329651259
0.913;4.2609960826772015;4.260721010255769;4.259452753668061;4.25161466201066;4.240118037874224;4.236448307504569;4.665499935374189;4.330492704083359
0.916;4.322523930796966;4.322254406835999;4.320992862202322;4.313011699333732;4.301336289566331;4.29720725851722;4.7370255315276655;4.393988549937727
0.92;4.4109344471826555;4.410660374492055;4.4094096589062515;4.40135471795803;4.389725881840095;4.385441847479622;4.842555482193056;4.48369974120388
0.923;4.481272593409923;4.480998173252127;4.479726916061834;4.471586884335631;4.459487817505029;4.455185722896071;4.922426268925228;4.555113019944546
0.926;4.555985643024494;4.5557038208795575;4.554404858564977;4.546027847561431;4.533592542122567;4.528810067939442;5.012464900184925;4.631320396824542
0.93;4.662851331514749;4.66257949991505;4.661247703494143;4.652797080684194;4.639768328596368;4.63483860399914;5.140245983306604;4.740701245260243
0.933;4.750597064340815;4.750318735110563;4.748949532604352;4.740227201373138;4.726578624465401;4.721249551315733;5.238986609833889;4.830704528693254
0.936;4.8434480239391835;4.843168020264275;4.841831844381984;4.8330558536650035;4.818862898564851;4.812878655450279;5.345284972148833;4.924062389323535
0.94;4.97731239203062;4.977035190129406;4.975640907808513;4.9665474162134045;4.9516439242767065;4.944978420942364;5.50015678744559;5.059997358939089
0.943;5.0867853791757796;5.086495665432517;5.08508529679391;5.075925767686935;5.060377514343171;5.053175482432964;5.630702764753723;5.171592867007175
0.946;5.206332684976672;5.206044682041964;5.204604167320591;5.195338094556861;5.1795008861491265;5.171858268723304;5.76440753164221;5.292721948867998
0.95;5.382810817673054;5.382519318315773;5.38107497093507;5.371643347222826;5.355166068895677;5.346589597235664;5.967603829797516;5.472473242619236
0.952;5.4791484637875225;5.47885620574599;5.477381349284962;5.468039226006406;5.450929841090557;5.442326182407704;6.083877543725537;5.570303675174436
0.954;5.582093116087534;5.581808947575045;5.580379118395639;5.570693813199035;5.55363154040145;5.544922704135794;6.201090562417773;5.675103188034344
0.956;5.6914540747772975;5.6911640948506355;5.689714397104009;5.6801237519904975;5.662649109408216;5.653835428424376;6.326225397778168;5.784590179902538
0.958;5.807829956819035;5.807539948956468;5.806176317571311;5.796334390568241;5.7784560981787765;5.769245588302425;6.452071390147143;5.903281030402786
